"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"12";"100K";"RESISTOR0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12";"";"";
"1";"100nF";"CAPC0603";"C0603";"C9";"";"";
"12";"10uF";"CAP-POL-ALUMROQANG-RVT0405";"ROQANG-RVT0405";"C1, C2, C3, C4, C5, C6, C10, C11, C12, C13, C14, C15";"";"";
"2";"10uF";"CAPC0603";"C0603";"C7, C8";"";"";
"1";"I2C";"HEADER-1X03-2.54P";"1X03P-2.54";"X2";"";"";
"1";"INPUT";"HEADER-1X12-2.54";"1X12-2.54";"X1";"";"";
"4";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"H1, H2, H3, H4";"";"";
"1";"OUTPUT";"HEADER-1X12-2.54";"1X12-2.54";"X4";"";"";
"1";"POWER";"HEADER-1X02-2.54POL";"1X02P-2.54";"X3";"";"";
"1";"PT2258-S";"PT2258";"SOP-20";"U1";"";"";
"1";"SHORT-SMD-06096";"SHORT-SMD-06096";"SHORT-SMD-06096";"SH1";"";"";
